inglizcha	uzbekcha
naked	yalang'och	
suggest	taklif qilmoq	
wet	ho'l	
pig	cho'chqa	
letting	ruxsat berish	
nowhere	hech qaerda	
Merry	Quvnoq	
animals	hayvonlar	
Weli	Weli	
cheese	pishloq	
ideas	g'oyalar	
downstairs	pastki qavat	
soldier	askar	
monster	hayvon	
several	several	
planet	sayyora	
Dean	Dekan	
insane	aqldan ozgan	
fellas	Fallas	
California	Kaliforniya	
Walter	Valter	
eggs	tuxum	
spoke	gapirdi	
butt	dumba	
murdered	o'ldirilgan	
view	ko'rinish	
bloody	qonli	
opening	ochilish	
lines	chiziqlar	
insurance	sug'urta	
split	split	
Pete	Pit	
jealous	rashkchi	
bullet	o'q	
arrived	keldi	
character	belgi	
national	milliy	
screaming	qichqiriq	
speech	nutq	
airport	aeroport	
hook	kanca	
condition	holat	
target	nishon	
finding	topish	
serve	xizmat qilish	
Er	Er	
incredible	aql bovar qilmaydigan	
sugar	shakar	
player	o'yinchi	
signal	signal	
Helen	Helen	
total	total	
selling	sotish	
hill	tepalik	
football	futbol	
screw	vida	
page	sahifa	
justice	adolat	
letters	harflar	
rough	qo'pol	
hurts	og'riydi	
project	loyiha	
crowd	olomon	
meaning	ma'no	
planning	rejalashtirish	
pair	juftlik	
science	fan	
usual	odatiy	
sees	ko'radi	
Adam	Odam	
Emily	Emily	
sooner	sooner	
Commander	Qo'mondon	
ordered	buyurdi	
subject	Mavzu	
remind	eslatmoq	
lies	yolg'on	
strength	kuch	
mail	pochta	
Dan	Dan	
paint	bo'yamoq	
freak	g'alati	
bedroom	yotoq xonasi	
onto	ustiga	
neighborhood	Turar joy dahasi	
personally	shaxsan	
finger	barmoq	
spell	sehr	
Tim	Tim	
ghost	arvoh	
Majesty	Ulug'vorlik	
Peg	Qoziq	
Smith	Smith	
doctors	shifokorlar	
fake	soxta	
release	release	
weight	vazn	
cheap	arzon	
market	bozor	
pray	ibodat qiling	
expecting	kutish	
unit	birlik	
signed	imzolangan	
falling	yiqilish	
throat	tomoq	
lake	ko'l	
nor	na	
Susan	Syuzan	
realized	amalga oshirildi	
director	direktor	
agreed	agreed	
truly	haqiqatan ham	
Phil	Fil	
brilliant	yorqin	
cab	kabina	
powers	kuchlar	
prepared	tayyorlangan	
candy	shirinlik	
Junior	Kichik	
pocket	cho'ntak	
legal	qonuniy	
Scott	Skott	
aware	aware	
roof	tom	
Jason	Jeyson	
babe	go'dak	
Brian	Brayan	
Radar	Radar	
slept	uxladi	
Bud	Bud	
responsibility	javobgarlik	
mountain	tog	
base	tayanch	
ours	ours	
firm	qat'iy	
England	Angliya	
whom	kim	
trade	savdo	
romantic	romantik	
liar	yolg'onchi	
fan	muxlis	
training	trening	
brings	olib keladi	
powerful	kuchli	
whenever	har doim	
sending	yuborish	
language	til	
purpose	maqsad	
Whoo	Kim	
believed	ishondi	
bless	baraka	
Nope	yoq	
pieces	pieces	
arrested	hibsga olingan	
noise	shovqin	
suck	emish	
fancy	chiroyli	
exciting	hayajonli	
genius	daho	
introduce	tanishtirmoq	
forgotten	forgotten	
Annie	Enni	
rent	ijara	
familiar	familiar	
criminal	jinoyatchi	
doors	eshiklar	
proof	dalil	
vote	ovoz berish	
recognize	tan olish	
com	com	
stolen	o'g'irlangan	
suicide	o'z joniga qasd qilish	
weather	ob-havo	
drinks	ichimliklar	
medicine	Dori	
K	K	
lift	ko'tarish	
issue	nashr	
followed	ergashdi	
buried	ko'milgan	
Anna	Anna	
mood	kayfiyat	
male	erkak	
among	orasida	
television	televizor	
regular	muntazam	
nights	kechalar	
opened	ochildi	
someday	bir kun	
stomach	oshqozon	
yellow	sariq	
ate	yedi	
County	Tuman	
nearly	deyarli	
Buck	Buck	
Crane	Vinç	
scare	qo'rqitish	
village	qishloq	
prepare	tayyorlash	
matters	muhim	
pizza	pizza	
monkey	maymun	
sudden	to'satdan	
assume	taxmin qilmoq	
heading	sarlavha	
toast	tost	
ears	quloqlar	
fella	fella	
babies	Chaqaloqlar	
jacket	ko'ylagi	
Lane	Ip	
thoughts	fikrlar	
social	ijtimoiy	
travel	sayohat	
sometime	qachondir	
property	property	
Monday	Dushanba	
expected	expected	
fingers	barmoqlar	
remain	qolmoq	
bodies	tanalar	
secretary	secretary	
funeral	dafn marosimi	
sexual	jinsiy	
magazine	jurnal	
Senator	Senator	
jerk	jirkanch	
glasses	ko'zoynak	
dating	Tanishuv	
research	tadqiqot	
freedom	freedom	
Arthur	Artur	
add	qo'shish	
damage	zarar	
repeat	takrorlang	
handsome	kelishgan	
hired	yollangan	
prefer	afzal	
buying	sotib olish	
society	jamiyat	
energy	energiya	
Alan	Alan	
crack	yorilish	
vacation	ta'til	
chase	ketidan quvmoq	
Mulder	Mulder	
divorce	ajralish	
Carter	Karter	
stayed	qoldi	
Jackson	Jekson	
Ally	Ally	
defense	mudofaa	
rat	kalamush	
Grandpa	Bobom	
Grant	Grant	
picking	yig'ish	
began	boshlangan	
checking	tekshirish	
reasons	sabablari	
goodness	yaxshilik	
post	post	
confused	chalkash	
William	Uilyam	
Unfortunately	Afsuski	
telephone	telefon	
surgery	jarrohlik	
contract	shartnoma	
safety	xavfsizlik	
tall	uzun bo'yli	
fixed	sobit	
professional	professional	
lesson	dars	
tiny	mayda	
assistant	yordamchi	
points	ochkolar	
Freeze	Muzlash	
understood	tushunilgan	
runs	ishlaydi	
Thomas	Tomas	
license	litsenziya	
model	model	
gate	Darvoza	
soft	yumshoq	
Margaret	Margaret	
ear	quloq	
riding	minish	
staff	xodimlar	
warning	ogohlantirish	
engine	dvigatel	
planned	rejalashtirilgan	
German	Nemis	
map	xarita	
swim	suzish	
harm	zarar	
square	kvadrat	
silver	kumush	
Sydney	Sidney	
brave	jasur	
access	kirish	
positive	ijobiy	
covered	yopiq	
female	ayol	
someplace	bir joyda	
streets	ko'chalar	
blew	pufladi	
weak	zaif	
season	mavsum	
Matt	Mat	
rush	shoshiling	
awesome	ajoyib	
snow	qor	
spring	bahor	
spread	tarqalish	
champagne	Shampan vinosi	
pounds	funt	
mayor	shahar hokimi	
Bond	Obligatsiya	
demon	jin	
winner	g'olib	
Madame	Xonim	
lips	lablar	
tongue	til	
leader	rahbar	
showing	ko'rsatish	
permission	ruxsat	
bath	Vanna	
Mm	Mm	
Monsieur	Janob	
Mexico	Meksika	
Jones	Jons	
storm	bo'ron	
spare	zaxira	
destroyed	vayron qilingan	
tour	ekskursiya	
headed	boshchiligidagi	
trees	daraxtlar	
students	talabalar	
ends	tugaydi	
burning	yonayotgan	
bones	suyaklar	
kicked	tepdi	
appointment	uchrashuv	
mentioned	zikr qilingan	
Piper	Piper	
score	Hisob	
Claire	Kler	
Angeles	Anjeles	
shoe	poyabzal	
Johnson	Jonson	
ocean	okean	
harder	Kuchliroq	
reality	haqiqat	
shape	shakli	
Brad	Bred	
Jeff	Jeff	
Kim	Kim	
survive	omon qolish	
gang	to'da	
saving	tejash	
cos	cos	
style	uslubi	
farm	ferma	
shopping	xarid qilish	
clearly	aniq	
sexy	shahvoniy	
growing	o'sib borayotgan	
example	misol	
laid	yotqizilgan	
answers	javoblar	
gosh	yaxshi	
rings	uzuklar	
alarm	signal	
plays	o'ynaydi	
screwed	vidalanadi	
schedule	jadval	
fortune	boylik	
enter	kiriting	
bleeding	qon ketish	
punch	musht	
ended	tugadi	
patients	bemorlar	
rights	huquqlar	
invite	taklif qiling	
obvious	aniq	
charges	ayblovlar	
touched	tegdi	
interview	intervyu	
affair	ish	
parts	qismlar	
Russian	Ruscha	
wherever	qaerda bo'lsa ham	
unbelievable	aql bovar qilmaydigan	
focus	diqqat	
chocolate	shokolad	
Sue	Sue	
borrow	qarz olish	
grew	o'sdi	
grade	sinf	
finds	topadi	
statement	bayonot	
investigation	tergov	
mate	turmush o'rtoq	
Cole	Koul	
load	yuk	
painting	rasm	
throwing	uloqtirish	
community	jamiyat	
Ross	Ross	
waited	kutdi	
loss	yo'qotish	
barely	zo'rg'a	
woods	o'rmonlar	
changes	o'zgarishlar	
details	tafsilotlar	
yourselves	o'zlaringiz	
exist	mavjud	
toilet	hojatxona	
chances	imkoniyat	
drove	haydab ketdi	
meal	ovqat	
dump	tashlamoq	
disappeared	ko'zdan yo'qoldi	
member	a'zo	
shock	zarba	
discovered	topilgan	
failed	muvaffaqiyatsiz tugadi	
pie	pirog	
Carol	Kerol	
crash	halokat	
Martha	Marta	
artist	rassom	
sat	o'tirdi	
theory	nazariya	
depends	bog'liq	
bags	sumkalar	
joy	quvonch	
ruin	xarob	
pleased	mamnun	
traffic	tirbandlik	
kissed	o'pdi	
wise	dono	
nonsense	bema'nilik	
pink	pushti	
carrying	ko'tarish	
burned	kuygan	
Laura	Laura	
midnight	yarim tunda	
shots	otishmalar	
deliver	etkazib berish	
bread	non	
officers	zobitlar	
button	tugmasi	
dealing	muomala	
original	original	
Mac	Mac	
hated	nafratlangan	
source	manba	
Eve	Momo Havo	
received	qabul qildi	
hung	osilgan	
cases	holatlar	
Subtitles	Subtitrlar	
switch	almashtirish	
charming	maftunkor	
decent	yaxshi	
Nah	Nah	
below	quyida	
Texas	Texas	
process	jarayon	
desert	cho'l	
Hollywood	Gollivud	
expensive	qimmat	
belongs	tegishli	
particular	xususan	
moves	harakat qiladi	
higher	yuqori	
lower	pastroq	
period	davr	
breathing	nafas olish	
grandmother	buvi	
H	H	
pride	mag'rurlik	
thousands	minglab	
dollar	dollar	
witch	jodugar	
tip	uchi	
soldiers	askarlar	
jobs	ish joylari	
plant	o'simlik	
surely	albatta	
sports	sport	
bust	büstü	
including	shu jumladan	
birth	tug'ilish	
joint	qo'shma	
Logan	Logan	
wire	sim	
bull	buqa	
brains	miyalar	
towards	tomonga	
rise	ko'tarilish	
boring	zerikarli	
Karen	Karen	
ashamed	uyaldi	
Lt	Lt	
sisters	opa-singillar	
section	Bo'lim	
V	V	
facts	faktlar	
smells	hidlar	
clever	aqlli	
Carl	Karl	
honestly	halol	
success	muvaffaqiyat	
garage	garaj	
filled	to'ldirilgan	
physical	jismoniy	
connection	ulanish	
complicated	murakkab	
pulling	tortish	
regret	afsus	
loser	omadsiz	
closet	shkaf	
giant	ulkan	
wheel	g'ildirak	
France	Frantsiya	
parking	avtoturargoh	
Twenty	Yigirma	
policy	siyosat	
tear	ko'z yoshi	
stranger	begona	
wood	yog'och	
fate	taqdir	
Maggie	Maggi	
juice	sharbat	
Lily	Lily	
governor	hokim	
Europe	Evropa	
Knight	Ritsar	
tied	bog'langan	
faces	yuzlar	
awake	uyg'oq	
fought	jang qildi	
Kitty	Kiti	
coast	qirg'oq	
pilot	uchuvchi	
miracle	mo''jiza	
lover	sevgilisi	
aboard	bortda	
files	fayllar	
based	asoslangan	
disgusting	jirkanch	
cigarette	sigaret	
grateful	minnatdor	
mighty	qudratli	
murderer	qotil	
garden	bog '	
watched	tomosha qildi	
wound	yara	
Sally	Salli	
Alice	Elis	
Linda	Linda	
forced	majbur	
drag	sudrab torting	
fourth	to'rtinchi	
Marie	Mari	
scream	qichqiriq	
event	tadbir	
woke	uyg'ondi	
row	qator	
actor	aktyor	
grave	qabr	
changing	o'zgaruvchan	
senior	katta	
curious	qiziquvchan	
flat	yassi	
winter	qish	
badly	yomon	
shoulder	yelka	
scary	qo'rqinchli	
super	super	
priest	ruhoniy	
Rick	Rik	
disease	kasallik	
sword	qilich	
smoking	chekish	
chick	jo'ja	
offered	taklif qildi	
closing	yopilish	
concern	tashvish	
talent	iste'dod	
garbage	axlat	
mostly	asosan	
attitude	munosabat	
bone	suyak	
recently	yaqinda	
friendly	do'stona	
egg	tuxum	
basically	asosan	
quarter	chorak	
engaged	unashtirilgan	
thee	sen	
rooms	xonalar	
passing	o'tish	
swing	belanchak	
Amen	Omin	
available	mavjud	
Louis	Lui	
Marshall	Marshal	
slip	siljish	
knees	tizzalar	
birds	qushlar	
bike	velosiped	
hunt	ov qilish	
caused	sabab bo'lgan	
taxi	taksi	
stood	turdi	
likely	ehtimol	
object	ob'ekt	
hates	nafratlanadi	
percent	foiz	
Pierce	Pirs	
raised	ko'tarilgan	
Japanese	Yapon	
guests	mehmonlar	
desperate	umidsiz	
dirt	axloqsizlik	
Navy	Dengiz kuchlari	
pussy	mushuk	
plate	plastinka	
negative	salbiy	
cooking	pishirish	
distance	masofa	
tank	tank	
data	ma'lumotlar	
request	so'rov	
ruined	vayron qilingan	
hire	yollash	
knowledge	bilim	
golf	golf	
falls	tushadi	
cow	sigir	
dawn	tong otdi	
pissed	achchiqlandi	
stock	Aksiya	
equipment	uskunalar	
reports	hisobotlar	
conference	konferensiya	
rescue	qutqarish	
Ann	Ann	
sale	sotish	
claim	Talab	
Holmes	Xolms	
silence	sukunat	
audience	tomoshabinlar	
warn	ogohlantiring	
Americans	Amerikaliklar	
mercy	rahm-shafqat	
Hank	Xank	
Jesse	Jessi	
proper	to'g'ri	
create	yaratmoq	
universe	koinot	
Francisco	Frantsisko	
baseball	beysbol	
Harold	Xarold	
soup	osh	
Hercules	Gerkules	
British	Inglizlar	
outfit	kiyim	
slowly	sekin	
yard	hovli	
Drew	Drew	
Duke	Dyuk	
Jackie	Jeki	
grown	grown	
loving	mehribon	
Valley	Vodiy	
Robin	Robin	
pure	toza	
rate	stavka	
dies	o'ladi	
bro	aka	
celebrate	nishonlamoq	
China	Xitoy	
piano	pianino	
Simon	Simon	
uniform	uniform	
pills	tabletkalar	
stealing	o'g'irlik	
spending	sarflash	
returned	qaytib keldi	
location	Manzil	
duck	o'rdak	
doll	qo'g'irchoq	
amount	miqdori	
healthy	healthy	
Central	Markaziy	
reached	yetdi	
knocked	taqillatdi	
walls	devorlar	
pen	qalam	
steps	qadamlar	
younger	yoshroq	
attractive	jozibali	
notes	notes	
fail	muvaffaqiyatsiz	
path	yo'l	
poison	zahar	
beast	hayvon	
wanting	xohlamoq	
naturally	tabiiy ravishda	
happiness	baxt	
anytime	har qanday vaqtda	
sucks	sucks	
Gary	Gari	
eventually	eventually	
Betty	Betti	
channel	kanal	
elevator	lift	
thy	sening	
belt	kamar	
secure	xavfsiz	
grandfather	bobo	
avoid	qochmoq	
penny	penny	
thief	o'g'ri	
laughs	kuladi	
guards	soqchilar	
Bay	Bay	
bride	kelin	
pathetic	achinarli	
mirror	oyna	
Thursday	Payshanba	
partners	sheriklar	
dozen	o'nlab	
becomes	bo'ladi	
Ellen	Ellen	
Kyle	Kayl	
direction	yo'nalish	
gorgeous	ajoyib	
direct	to'g'ridan-to'g'ri	
odd	g'alati	
theater	teatr	
led	LED	
committed	sodir etilgan	
march	yurish	
Boston	Boston	
puts	qo'yadi	
official	rasmiy	
members	a'zolar	
Morgan	Morgan	
treated	davolangan	
effect	effekt	
attacked	hujum qildi	
tail	quyruq	
vision	ko'rish	
Pa	Pa	
secrets	sirlar	
talks	muzokaralar	
dust	chang	
trap	tuzoq	
wide	keng	
sharp	o'tkir	
honour	sharaf	
aside	chetga	
stairs	zinapoyalar	
deck	pastki	
guts	ichaklar	
extremely	nihoyatda	
unusual	g'ayrioddiy	
lousy	yomon	
newspaper	gazeta	
courage	jasorat	
apple	apple	
Tuesday	Seshanba	
terribly	dahshatli	
fishing	baliq ovlash	
piss	piss	
University	Universitet	
carefully	ehtiyotkorlik bilan	
hitting	urish	
writer	yozuvchi	
pulse	zarba	
edge	chekka	
illegal	noqonuniy	
pity	afsus	
protection	himoya qilish	
couch	divan	
tests	testlar	
staring	tikilib	
victims	victims	
created	yaratilgan	
screen	ekran	
appear	paydo bo'ladi	
winning	g'alaba qozonish	
precious	qimmatli	
windows	derazalar	
studio	studiya	
kissing	o'pish	
rob	talash	
golden	oltin	
Wilson	Uilson	
frightened	frightened	
Sandy	Qumli	
owner	egasi	
royal	qirollik	
intend	niyat qilmoq	
Da	Da	
considered	ko'rib chiqildi	
parties	partiyalar	
cast	gips	
prisoner	mahbus	
Burns	Kuyishlar	
Frasier	Yalang'ochroq	
popular	mashhur	
destiny	taqdir	
robbery	talonchilik	
silent	jim	
violence	zo'ravonlik	
federal	federal	
hearts	qalblar	
mystery	sir	
nerve	asab	
circumstances	holatlar	
library	kutubxona	
toward	tomonga	
busted	buzilgan	
becoming	bo'lish	
rocks	toshlar	
practically	amalda	
embarrassing	uyatli	
photo	fotosurat	
tower	minora	
Miller	Miller	
armed	qurollangan	
shift	siljish	
friendship	do'stlik	
maid	xizmatkor	
wallet	hamyon	
package	paket	
range	oralig'i	
flower	gul	
beating	urish	
Elizabeth	Yelizaveta	
results	natijalar	
steady	barqaror	
Cheers	Salom	
rope	arqon	
cleaning	tozalash	
exact	aniq	
image	rasm	
Barbara	Barbara	
Maria	Mariya	
vehicle	transport vositasi	
turkey	kurka	
easily	osonlik bilan	
nasty	yomon	
jungle	o'rmon	
sensitive	sezgir	
pot	qozon	
suffer	azob chekish	
millions	millionlab	
remembered	esladi	
trash	axlat	
thou	sen	
ambulance	tez yordam	
behavior	xulq-atvor	
nightmare	kabus	
prize	mukofot	
per	per	
tears	ko'z yoshlar	
snake	ilon	
families	families	
cancer	saraton	
terms	shartlar	
orange	apelsin	
media	ommaviy axborot vositalari	
foreign	chet el	
Donna	Donna	
wasting	isrof qilish	
memories	xotiralar	
songs	qo'shiqlar	
Spanish	Ispaniya	
material	material	
expert	mutaxassis	
Charlotte	Sharlotta	
cutting	kesish	
advantage	afzallik	
rude	qo'pol	
flesh	go'sht	
disappointed	hafsalasi pir bo'lgan	
Inspector	Tekshiruvchi	
guarantee	kafolat	
signs	belgilar	
committee	qo'mita	
Terry	Terri	
kinds	turlari	
punk	pank	
downtown	shahar markazida	
sandwich	sendvich	
understanding	tushunish	
marks	belgilar	
mistakes	xatolar	
Daniel	Doniyor	
sweat	terlash	
political	siyosiy	
panic	vahima	
cents	sent	
plain	plain	
performance	ishlash	
stops	to'xtaydi	
boom	portlash	
union	birlashma	
Parker	Parker	
seats	o'rindiqlar	
hundreds	yuzlab	
fruit	meva	
cable	kabel	
Objection	E'tiroz	
Mum	Onajon	
separate	alohida	
Kong	Kong	
underwear	ichki kiyim	
ancient	qadimiy	
Fox	Fox	
Lewis	Lyuis	
moments	lahzalar	
Cliff	Kliff	
setting	sozlash	
rolling	prokatlash	
W	V	
castle	qal'a	
delicious	mazali	
value	qiymat	
circle	doira	
miserable	baxtsiz	
bills	veksellar	
glory	glory	
squad	tarkib	
Chuck	Chak	
manage	boshqarish	
counting	hisoblash	
bowl	kosa	
zero	nol	
victory	g'alaba	
stands	stendlar	
embarrassed	uyaldi	
Willie	Villi	
creature	maxluq	
deny	rad etish	
basketball	basketbol	
mixed	aralashgan	
route	marshrut	
continues	continues	
Bruce	Bruce	
rare	rare	
yelling	baqirish	
Nancy	Nensi	
holiday	bayram	
hidden	hidden	
ill	kasal	
Andrew	Endryu	
helps	yordam beradi	
directly	to'g'ridan-to'g'ri	
progress	taraqqiyot	
remove	olib tashlash	
wave	wave	
gods	gods	
authority	hokimiyat	
chain	zanjir	
highly	juda yuqori	
wore	kiygan	
emotional	hissiy	
hunting	ov qilish	
shadow	soya	
jumped	sakrab chiqdi	
FALSE	Yolg'on	
gray	gray	
skip	o'tish	
estate	mulk	
whore	fohisha	
horn	shox	
appears	paydo bo'ladi	
basement	podval	
agents	agentlar	
Jess	Jess	
minds	aqllar	
pleasant	yoqimli	
mile	milya	
clients	mijozlar	
refuse	rad etish	
approach	yondashuv	
disappear	g'oyib bo'lish	
speaks	gapiradi	
district	tuman	
bug	xato	
rabbit	quyon	
Jeez	Jiz	
champion	chempion	
stopping	to'xtatish	
proceed	davom eting	
competition	musobaqa	
Watson	Vatson	
Anne	Anne	
presence	mavjudlik	
leading	etakchi	
forces	kuchlar	
century	asr	
cure	davolash	
Rita	Rita	
capable	qobiliyatli	
convinced	ishonch hosil qildi	
swell	shishiradi	
warrant	kafolat	
Wayne	Ueyn	
threat	tahdid	
therefore	shuning uchun	
Zack	Zak	
bury	bury	
Ruth	Rut	
services	services	
shine	porlash	
diamond	olmos	
April	Aprel	
bat	ko'rshapalak	
Monica	Monica	
alert	alert	
X	X	
chip	chip	
Edward	Edvard	
Jenny	Jenni	
transfer	o'tkazish	
thrown	tashlangan	
sentence	hukm	
fabulous	ajoyib	
pushed	itarib yubordi	
nation	millat	
butter	sariyog '	
Earl	Graf	
jokes	hazillar	
reporter	muxbir	
booth	stend	
casino	kazino	
Potter	Potter	
Josh	Josh	
successful	omadli	
learning	o'rganish	
possibility	imkoniyat	
awfully	dahshatli	
sand	qum	
desire	istak	
bow	kamon	
cage	qafas	
wolf	bo'ri	
nigger	zanjir	
units	birliklar	
wing	qanot	
exchange	exchange	
trapped	tuzoqqa tushgan	
thin	ingichka	
bored	zerikkan	
pet	pet	
rip	joyi jannatda bo'lsin	
series	seriyali	
drama	drama	
homework	Uy ishi	
hills	tepaliklar	
carried	olib borildi	
entirely	butunlay	
zone	zona	
explanation	tushuntirish	
spy	ayg'oqchi	
assure	ishontirish	
failure	failure	
hits	xitlar	
collect	yig'moq	
swimming	suzish	
bang	portlash	
Joseph	Jozef	
print	chop etish	
launch	ishga tushirish	
useless	foydasiz	
delivery	etkazib berish	
journey	sayohat	
fever	fever	
Jordan	Iordaniya	
photos	fotosuratlar	
kills	o'ldiradi	
sport	sport	
challenge	challenge	
loan	kredit	
Shore	Shore	
Barry	Barri	
spoken	aytilgan	
routine	muntazam	
soda	soda	
teaching	teaching	
trunk	magistral	
mask	niqob	
Clark	Klark	
Teli	Teli	
leads	olib keladi	
result	natija	
passion	passion	
purse	sumka	
served	xizmat qilgan	
argue	bahslashmoq	
climb	ko'tarilish	
Seth	Set	
cats	mushuklar	
witnesses	guvohlar	
beef	mol go'shti	
recall	eslash	
wings	qanotlar	
Barney	Barni	
mental	aqliy	
cabin	idishni	
ships	ships	
script	skript	
solid	qattiq	
article	maqola	
Vic	Vik	
education	ta'lim	
salt	tuz	
solve	hal qilish	
confidence	confidence	
frankly	frankly	
receive	qabul qilish	
metal	metall	
wounded	yarador	
settled	joylashdi	
suffering	azob	
escaped	qochib ketgan	
anger	g'azab	
agency	agentlik	
detail	tafsilot	
trace	iz	
pipe	quvur	
wins	yutadi	
supper	kechki ovqat	
effort	effort	
spit	spit	
studying	o'qish	
hug	quchoqlang	
enemies	dushmanlar	
treatment	davolash	
commit	qilmoq	
Dragon	Dragon	
reputation	obro'-e'tibor	
intelligence	aql-idrok	
troops	troops	
custody	qamoqqa olish	
Gimme	Gimme	
ability	qobiliyat	
site	sayt	
fifth	fifth	
trail	iz	
palace	saroy	
pushing	itarish	
stays	qoladi	
hop	hop	
boots	boots	
owns	owns	
attempt	urinish	
houses	uylar	
lawyers	advokatlar	
mouse	sichqoncha	
how	Qanday	
Mr	Janob	
provide	ta'minlash	
however	ammo	
almost	deyarli	
include	o'z ichiga oladi	
president	Prezident	
parent	ota-ona	
although	bo'lsa-da	
perhaps	balki	
former	avvalgi	
major	katta	
require	talab qilish	
development	rivojlanish	
role	rol	
economic	iqtisodiy	
according	ko'ra	
develop	rivojlantirish	
international	xalqaro	
tax	soliq	
activity	faoliyat	
produce	mahsulot	
industry	sanoat	
recent	yaqinda	
describe	tasvirlab bering	
product	mahsulot	
worker	ishchi	
north	shimoliy	
technology	texnologiya	
Republican	Respublika	
organization	tashkilot	
listen	tinglang	
culture	madaniyat	
billion	milliard	
term	muddat	
administration	ma'muriyat	
south	janub	
Congress	Kongress	
campaign	kampaniya	
population	aholi	
economy	iqtisodiyot	
current	joriy	
involve	jalb qilmoq	
increase	o'sish	
west	g'arb	
seek	izlamoq	
goal	maqsad	
author	muallif	
represent	vakillik qilish	
reduce	kamaytirish	
movement	harakat	
significant	muhim	
similar	o'xshash	
response	javob	
factor	omil	
decade	o'n yil	
east	sharq	
despite	qaramay	
central	markaziy	
thus	shunday qilib	
fund	fond	
occur	sodir bo'lishi	
individual	individual	
quality	sifat	
resource	manba	
identify	aniqlash	
determine	aniqlash	
particularly	ayniqsa	
indicate	ko'rsatmoq	
growth	o'sish	
degree	daraja	
region	mintaqa	
TV	Televizor	
election	saylov	
general	umumiy	
standard	standart	
bill	qonun loyihasi	
arrive	kelmoq	
analysis	tahlil	
benefit	foyda olish	
environmental	atrof-muhit	
skill	mahorat	
PM	Bosh vazir	
professor	professor	
financial	moliyaviy	
ok	ok	
compare	taqqoslash	
miss	sog'indim	
design	dizayn	
strategy	strategiya	
democratic	demokratik	
environment	atrof-muhit	
various	turli xil	
executive	ijro etuvchi	
design	dizayn	
network	tarmoq	
religious	diniy	
establish	o'rnatmoq	
Democrat	Demokrat	
management	boshqaruv	
impact	ta'sir	
respond	javob bering	
maintain	saqlamoq	
traditional	an'anaviy	
reveal	ochib berish	
employee	xodim	
cultural	madaniy	
contain	o'z ichiga oladi	
apply	murojaat qilish	
measure	o'lchov	
structure	tuzilishi	
politics	siyosat	
perform	ijro etish	
discover	kashf qilish	
candidate	nomzod	
production	ishlab chiqarish	
affect	ta'sir qilish	
adult	kattalar	
individual	individual	
specific	aniq	
throughout	davomida	
institution	muassasa	
improve	takomillashtirish	
method	usul	
reflect	aks ettirish	
surface	sirt	
pattern	naqsh	
agent	agent	
generation	avlod	
commercial	tijorat	
item	element	
Mrs	Honim	
tend	moyillik	
investment	sarmoya	
discussion	munozara	
collection	to'plam	
modern	zamonaviy	
task	vazifa	
civil	fuqarolik	
consumer	iste'molchi	
budget	byudjet	
scientist	olim	
agreement	kelishuv	
capital	poytaxt	
western	g'arbiy	
relate	aloqador	
debate	munozara	
prevent	oldini olish	
citizen	fuqaro	
majority	ko'pchilik	
customer	mijoz	
option	variant	
participant	ishtirokchi	
southern	Janubiy	
forest	o'rmon	
global	global	
Senate	Senat	
reform	islohot	
publish	nashr etish	
relation	munosabat	
critical	tanqidiy	
version	versiyasi	
stare	qarash	
effective	samarali	
troop	qo'shin	
income	daromad	
species	turlari	
basic	Asosiy	
nobody	hech kim	
achieve	erishish	
labor	mehnat	
refer	murojaat qiling	
concept	kontseptsiya	
conduct	xulq-atvor	
announce	e'lon qilish	
examine	Imtihon	
attend	qatnashmoq	
variety	xilma-xillik	
nuclear	yadroviy	
researcher	tadqiqotchi	
conflict	ziddiyat	
replace	almashtirish	
encourage	rag'batlantirish	
argument	dalil	
feature	xususiyati	
AM	AM	
generally	umuman	
African	Afrika	
crisis	inqiroz	
define	aniqlang	
element	element	
status	holat	
solution	yechim	
scale	o'lchov	
university	universitet	
lack	etishmaslik	
survey	tadqiqot	
tradition	an'ana	
Soviet	Sovet	
sales	sotish	
communication	aloqa	
gain	daromad	
resident	rezident	
potential	salohiyat	
increase	o'sish	
European	Evropa	
independent	mustaqil	
reader	o'quvchi	
Christian	Nasroniy	
express	ifoda eting	
previous	oldingi	
demand	talab	
text	matn	
tool	vosita	
observe	kuzatmoq	
facility	qulaylik	
average	o'rtacha	
emerge	paydo bo'lish	
leadership	etakchilik	
earn	ishlab topmoq	
pound	funt	
basis	asos	
operate	ishlash	
sample	namuna	
contribute	hissa qo'shmoq	
additional	qo'shimcha	
identity	shaxsiyat	
title	sarlavha	
promote	targ'ib qilish	
technique	texnika	
folk	xalq	
principle	tamoyil	
border	chegara	
gather	yig'moq	
limit	chegara	
associate	sherik	
critic	tanqidchi	
aspect	jihat	
insist	turib olish	
annual	yillik	
comment	sharh	
procedure	protsedura	
chairman	rais	
ignore	e'tiborsiz qoldiring	
measure	o'lchov	
belief	e'tiqod	
demonstrate	namoyish qilmoq	
religion	din	
review	ko'rib chiqish	
editor	muharriri	
engage	shug'ullanmoq	
document	hujjat	
influence	ta'sir	
threaten	tahdid qilmoq	
youth	yoshlar	
background	fon	
native	tug'ma	
broad	keng	
apparently	aftidan	
slightly	ozgina	
reaction	reaktsiya	
perspective	istiqbol	
construction	qurilish	
context	kontekst	
Indian	Hind	
